source_group,target_group,ligand,receptor,pathway,ligand_mean,receptor_mean,ligand_pct,receptor_pct,score,reference
Secretory,Secretory,EGF,EGFR,EGF-EGFR,0.010662103,0.75314337,0.5218377765173,28.587634713556437,0.008030092,Shaykhiev 2017
Suprabasal,Basal,ALOX5,CYSLTR1,CysLT,0.024932291,0.31419545,1.2296341838303104,10.322922181048174,0.007833612,Ualiyeva 2020
Secretory,Ciliated,LTC4S,CYSLTR1,CysLT,0.34446028,0.022708392,13.726602382302893,0.9486166007905139,0.007822139,Ualiyeva 2020
Suprabasal,Basal,EGF,EGFR,EGF-EGFR,0.0040746955,1.7905077,0.18444512757454656,51.32345156167284,0.007295774,Shaykhiev 2017
Hillock,Suprabasal,LTC4S,CYSLTR1,CysLT,0.028633587,0.22373492,1.3961605584642234,9.375960651706118,0.0064063333,Ualiyeva 2020
Basal,Ionocyte,LTC4S,CYSLTR1,CysLT,0.5324057,0.011828883,17.893065113816835,0.5102040816326531,0.0062977644,Ualiyeva 2020
Secretory,Ciliated,PTGS2,PTGER2,PGE2,0.032947775,0.18987761,1.3840045377197958,7.536231884057972,0.006256045,COX-2 pathway
Basal,Basal,ALOX5,CYSLTR1,CysLT,0.018838562,0.31419545,0.8205399682371625,10.322922181048174,0.0059189904,Ualiyeva 2020
Basal,Hillock,LTC4S,CYSLTR1,CysLT,0.5324057,0.0109279575,17.893065113816835,0.5235602094240838,0.0058181067,Ualiyeva 2020
Secretory,Hillock,DLL1,NOTCH3,Notch,0.050149634,0.1140084,2.1554169030062393,5.4101221640488655,0.0057174796,Basal cell fate
Hillock,Suprabasal,DLL1,NOTCH1,Notch,0.004528943,1.25282,0.17452006980802792,47.49462035044574,0.0056739505,Basal cell fate
Suprabasal,Suprabasal,ALOX5,CYSLTR1,CysLT,0.024932291,0.22373492,1.2296341838303104,9.375960651706118,0.005578224,Ualiyeva 2020
Ciliated,Hillock,EGF,EGFR,EGF-EGFR,0.01998624,0.2688612,0.8432147562582345,11.69284467713787,0.0053735245,Shaykhiev 2017
Secretory,Ciliated,EGF,EGFR,EGF-EGFR,0.010662103,0.49845788,0.5218377765173,19.104084321475625,0.0053146095,Shaykhiev 2017
Suprabasal,Hillock,DLL1,NOTCH1,Notch,0.11461787,0.04543789,5.072241008300031,1.9197207678883073,0.005207994,Basal cell fate
Suprabasal,Ciliated,PTGS2,PTGER2,PGE2,0.02651877,0.18987761,1.168152474638795,7.536231884057972,0.0050353208,COX-2 pathway
Ionocyte,Ciliated,LTC4S,CYSLTR1,CysLT,0.19962968,0.022708392,6.63265306122449,0.9486166007905139,0.004533269,Ualiyeva 2020
Suprabasal,Ciliated,DLL1,NOTCH3,Notch,0.11461787,0.03934,5.072241008300031,1.7127799736495388,0.004509067,Basal cell fate
Ciliated,Ionocyte,LTC4S,CYSLTR1,CysLT,0.3713606,0.011828883,14.09749670619236,0.5102040816326531,0.004392781,Ualiyeva 2020
Suprabasal,Ionocyte,DLL1,NOTCH3,Notch,0.11461787,0.036960036,5.072241008300031,1.530612244897959,0.0042362805,Basal cell fate
Basal,Suprabasal,ALOX5,CYSLTR1,CysLT,0.018838562,0.22373492,0.8205399682371625,9.375960651706118,0.004214844,Ualiyeva 2020
Secretory,Hillock,BMP4,BMPR1A,BMP,0.03441633,0.121550314,1.5655133295519004,5.4101221640488655,0.0041833157,Epithelial differentiation
Secretory,Ionocyte,LTC4S,CYSLTR1,CysLT,0.34446028,0.011828883,13.726602382302893,0.5102040816326531,0.00407458,Ualiyeva 2020
Hillock,Ciliated,PTGS2,PTGER2,PGE2,0.021414993,0.18987761,0.8726003490401396,7.536231884057972,0.004066228,COX-2 pathway
Ciliated,Hillock,LTC4S,CYSLTR1,CysLT,0.3713606,0.0109279575,14.09749670619236,0.5235602094240838,0.004058213,Ualiyeva 2020
Ciliated,Basal,ALOX5,CYSLTR1,CysLT,0.012203188,0.31419545,0.6060606060606061,10.322922181048174,0.0038341861,Ualiyeva 2020
Secretory,Hillock,LTC4S,CYSLTR1,CysLT,0.34446028,0.0109279575,13.726602382302893,0.5235602094240838,0.0037642473,Ualiyeva 2020
Ionocyte,Hillock,PTGS2,PTGER2,PGE2,1.164658,0.0031762207,36.734693877551024,0.17452006980802792,0.0036992107,COX-2 pathway
Ciliated,Hillock,WNT5A,FZD6,Wnt,0.025270099,0.14429577,1.0540184453227932,6.631762652705062,0.0036463684,Planar polarity
Secretory,Secretory,ALOX5,CYSLTR1,CysLT,0.0548236,0.06508077,2.64322178105502,2.994895065229722,0.003567962,Ualiyeva 2020
Ionocyte,Secretory,ALOX5,CYSLTR1,CysLT,0.05406812,0.06508077,2.0408163265306123,2.994895065229722,0.0035187947,Ualiyeva 2020
Suprabasal,Ciliated,DLL1,NOTCH1,Notch,0.11461787,0.030082978,5.072241008300031,1.185770750988142,0.003448047,Basal cell fate
Hillock,Secretory,DLL1,NOTCH2,Notch,0.004528943,0.72912484,0.17452006980802792,28.02041973908111,0.0033021648,Basal cell fate
Hillock,Suprabasal,DLL1,NOTCH3,Notch,0.004528943,0.70270246,0.17452006980802792,30.064555794651092,0.0031824994,Basal cell fate
Suprabasal,Secretory,EGF,EGFR,EGF-EGFR,0.0040746955,0.75314337,0.18444512757454656,28.587634713556437,0.00306883,Shaykhiev 2017
Hillock,Basal,ALOX5,CYSLTR1,CysLT,0.009281551,0.31419545,0.5235602094240838,10.322922181048174,0.0029162213,Ualiyeva 2020
Secretory,Hillock,EGF,EGFR,EGF-EGFR,0.010662103,0.2688612,0.5218377765173,11.69284467713787,0.0028666258,Shaykhiev 2017
Ciliated,Suprabasal,ALOX5,CYSLTR1,CysLT,0.012203188,0.22373492,0.6060606060606061,9.375960651706118,0.0027302792,Ualiyeva 2020
Basal,Ciliated,PTGS2,PTGER2,PGE2,0.013626733,0.18987761,0.4764425622022234,7.536231884057972,0.0025874116,COX-2 pathway
Hillock,Suprabasal,DLL1,NOTCH2,Notch,0.004528943,0.55338997,0.17452006980802792,23.854903166308024,0.0025062717,Basal cell fate
Ionocyte,Suprabasal,PTGS2,PTGER2,PGE2,1.164658,0.0020391347,36.734693877551024,0.09222256378727328,0.0023748945,COX-2 pathway
Ionocyte,Ionocyte,LTC4S,CYSLTR1,CysLT,0.19962968,0.011828883,6.63265306122449,0.5102040816326531,0.002361396,Ualiyeva 2020
Secretory,Hillock,DLL1,NOTCH1,Notch,0.050149634,0.04543789,2.1554169030062393,1.9197207678883073,0.0022786937,Basal cell fate
Hillock,Ciliated,BMP4,BMPR1A,BMP,0.0052045975,0.42891842,0.17452006980802792,16.83794466403162,0.0022323478,Epithelial differentiation
Hillock,Basal,DLL1,NOTCH1,Notch,0.004528943,0.48648515,0.17452006980802792,16.860772895712017,0.0022032636,Basal cell fate
